"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530295;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Bejel";"GUU";249,691134501;1
530295;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Perlon";"GUG";192,4;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";"GFB";"Brotola de fango (Phycis blennoides)";"GFB";28,27;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Chicharro Negro";"Chicharro Negro";"HOM";"Chicharro Negro";"HOM";630;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Estornino del Atlantico";"Estornino del Atlantico";"VMA";"Estornino del Atlantico";"VMA";36;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo boscii";"LDB";1,84480581;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo whiffiagonis";"MEG";24,804;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Maruca - Juliana (Molva molva)";"Maruca - Juliana (Molva molva)";"LIN";"Maruca - Juliana (Molva molva)";"LIN";1,65213682;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";2524,104198782;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Peon - pez plata";"Peon - pez plata";"ARY";"Peon - pez plata";"ARY";129;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Pez de San Pedro";"Pez de San Pedro";"JOD";"Pez de San Pedro";"JOD";3,7;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";138,12;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";69,72;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUR";"Cuco - Peona";"GUR";7,433628319;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Garneo";"GUN";10,56637168;1
530374;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Verdel - Caballa";"Verdel - Caballa";"MAC";"Verdel - Caballa";"MAC";450;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Calamares Loliginidae";"Calamares Loliginidae";"SQC";"Calamar comun";"SQR";79;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Cinta";"Cinta";"CBC";"Cinta";"CBC";14;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";353,1;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca comun";"BIB";689,7;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Fanecas spp";"GAD";"Faneca comun";"BIB";555,5;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";1829,32;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Pintarroja";"Pintarroja";"SYC";"Pintarroja";"SYC";946;1
530450;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Rayas spp";"Raya santiaguesa";"RJN";"Raya santiaguesa";"RJN";1200,5;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Chicharro Blanco";"Chicharro Blanco";"HMM";"Chicharro Blanco";"HMM";6;1
